title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,-4,18,74,251,42,5,78
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,-8,33,9,245,7,6,78
My Way,Calvin Harris,dance pop,2017,120,91,82,-3,16,54,219,10,4,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17,81,289,7,4,77
Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,50,3,77
Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10,82,229,24,17,76
The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,2,27,76
There for You,Martin Garrix,big room,2017,106,64,61,-8,12,13,222,13,6,76
Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,3,3,76
Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,-6,16,60,216,34,38,75
Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,57,184,11,4,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,51,5,75
Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10,57,243,3,4,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,9,17,72
Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5,41,234,15,11,72
Love,Lana Del Rey,art pop,2017,99,37,53,-11,11,23,273,50,3,72
Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10,62,189,16,9,71
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,5,11,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,19,3,85
I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,11,13,85
New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,1,7,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,39,6,84
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,5,6,84
IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,5,9,84
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,7,7,83
Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,13,4,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,11,4,83
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,12,5,83
Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,2,5,82
Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,8,5,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,4,5,82
Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,27,9,82
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,3,23,81
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,43,3,80
These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,20,5,80
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,9,6,79
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,3,10,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,59,-7,12,36,260,79,3,78
Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,7,3,78
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,6,9,78
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,74,-5,30,62,189,1,4,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,-3,12,63,204,4,7,76
My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,1,8,76
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,4,8,76
Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,12,5,76
Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,4,3,76
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,21,12,75
Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,85,5,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,59,4,97
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,76,3,96
